dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject
"Lepinski, Matt; Izmalkov, Sergei",Cryptography and Information Security,2005-12-22T02:20:57Z,2005-12-22T02:20:57Z,2005-02-02,MIT-CSAIL-TR-2005-006; MIT-LCS-TM-647,http://hdl.handle.net/1721.1/30519,"We show that any function F can be securely evaluated by a protocolwith ballots and a ballot box. That is, N mutually suspicious players,each player possessing a secret input, can use ballots and a ballotbox to jointly evaluate F on their secret inputs so that (no matterhow many players may collude and deviate from their prescribed instructions, and no matter how long they compute!) each player learnsexactly the output of the function with the same privacy and correctnessas if all players privately handed their secret inputs to a trustedparty, who privately evaluates F and privately returns the outputs toeach player.Our protocol is (1) efficient, (2) enjoys perfect privacy, (3) guarantees perfect correctness, (4) is universally composable, and (5)is collusion-free even for games with secret actions.",12 p.; 10126165 bytes; 427313 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,The Security Power of the Ballot Box,
"Sussman, Gerald Jay; Wisdom, Jack",,2005-12-22T02:21:07Z,2005-12-22T02:21:07Z,2005-02-02,MIT-CSAIL-TR-2005-007; AIM-2005-003,http://hdl.handle.net/1721.1/30520,"Differential geometry is deceptively simple.  It is surprisingly easyto get the right answer with unclear and informal symbol manipulation.To address this problem we use computer programs to communicate aprecise understanding of the computations in differential geometry.Expressing the methods of differential geometry in a computer languageforces them to be unambiguous and computationally effective.  The taskof formulating a method as a computer-executable program and debuggingthat program is a powerful exercise in the learning process.  Also,once formalized procedurally, a mathematical idea becomes a tool thatcan be used directly to compute results.",77 p.; 38556269 bytes; 1665777 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Functional Differential Geometry,AI; Scheme  differential geometry calculus manifolds
"Balas, Benjamin",,2005-12-22T02:21:13Z,2005-12-22T02:21:13Z,2005-02-07,MIT-CSAIL-TR-2005-008; AIM-2005-002; CBCL-244,http://hdl.handle.net/1721.1/30521,"Traditionally, human texture perception has been studied using artificial textures made of random-dot patterns or abstract structured elements. At the same time, computer algorithms for the synthesis of natural textures have improved dramatically. The current study seeks to unify these two fields of research through a psychophysical assessment of a particular computational model, thus providing a sense of what image statistics are most vital for representing a range of natural textures. We employ Portilla and SimoncelliÂ’s 2000 model of texture synthesis for this task (a parametric model of analysis and synthesis designed to mimic computations carried out by the human visual system). We find an intriguing interaction between texture type (periodic v. structured) and image statistics (autocorrelation function and filter magnitude correlations), suggesting different processing strategies may be employed for these two texture families under pre-attentive viewing.",11 p.; 33342937 bytes; 4614631 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using computational models to study texture representations in the human visual system.,AI; texture perception; texture synthesis; psychophysics; natural images
"Abbott, Tim; Kane, Daniel; Valiant, Paul",Cryptography and Information Security,2005-12-22T02:24:28Z,2005-12-22T02:24:28Z,2005-02-08,MIT-CSAIL-TR-2005-010; MIT-LCS-TM-648,http://hdl.handle.net/1721.1/30523,We exhibit a polynomial reduction from the problem of finding a Nashequilibrium of a bimatrix game with rational coefficients to the problemof finding a Nash equilibrium of a bimatrix game with 0-1 coefficients.,6 p.; 6499249 bytes; 336493 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Complexity of finding Nash equilibria in 0-1 bimatrix games,
"Feamster, Nick; Johari, Ramesh; Balakrishnan, Hari",Networks and Mobile Systems,2005-12-22T02:24:22Z,2005-12-22T02:24:22Z,2005-02-08,MIT-CSAIL-TR-2005-009; MIT-LCS-TR-981,http://hdl.handle.net/1721.1/30522,"Thousands of competing autonomous systems (ASes) mustcooperate with each other to provide global Internet connectivity.These ASes encode various economic, business,and performance decisions in their routing policies. The currentinterdomain routing system enables ASes to express policyusing rankings that determine how each router in an ASorders the different routes to a destination, and filters thatdetermine which routes are hidden from each neighboringAS. Since the Internet is composed of many independent,competing networks, the interdomain routing system shouldallow providers to set their rankings independently, and tohave no constraints on allowed filters. This paper studiesrouting protocol stability under these constraints. We firstdemonstrate that certain rankings that are commonly usedin practice may not ensure routing stability. We then provethat, with ranking independence and unrestricted filtering,guaranteeing that the routing system will converge to a stablepath assignment essentially requires ASes to rank routesbased on AS-path lengths. Finally, we discuss the implicationsof these results for the future of interdomain routing.",14 p.; 28950106 bytes; 1209509 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Stable Policy Routing with Provider Independence,
"Riemann, Reina; Winstein, Keith",,2005-12-22T02:24:37Z,2005-12-22T02:24:37Z,2005-02-24,MIT-CSAIL-TR-2005-011; AIM-2005-004,http://hdl.handle.net/1721.1/30524,"The ISO/IEC 8802-11:1999(E) specification uses a 32-bit CRC for error detection and whole-packet retransmissions for recovery. In long-distance orhigh-interference links where the probability of a bit error is high,this strategy results in excessive losses, because any erroneous bitcauses an entire packet to be discarded. By ignoring the CRC andadding redundancy to 802.11 payloads in software, we achievedsubstantially reduced loss rates on indoor and outdoor long-distancelinks and extended line-of-sight range outdoors by 70 percent.",10 p.; 8245944 bytes; 467111 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Improving 802.11 Range with Forward Error Correction,AI
"Attie, Paul; Guerraoui, Rachid; Kouznetsov, Petr; Lynch, Nancy; Rajsbaum, Sergio",Theory of Computation,2005-12-22T02:24:53Z,2005-12-22T02:24:53Z,2005-02-25,MIT-CSAIL-TR-2005-013; MIT-LCS-TR-982,http://hdl.handle.net/1721.1/30526,"We prove two theorems saying that no distributed system in whichprocesses coordinate using reliable registers and f-resilient servicescan solve the consensus problem in the presence of f+1 undetectableprocess stopping failures.  (A service is f-resilient if it isguaranteed to operate as long as no more than f of the processesconnected to it fail.)Our first theorem assumes that the given services are atomic objects,and allows any connection pattern between processes and services.  Incontrast, we show that it is possible to boost the resilience ofsystems solving problems easier than consensus: the k-set consensusproblem is solvable for 2k-1 failures using 1-resilient consensusservices.  The first theorem and its proof generalize to the largerclass of failure-oblivious services.Our second theorem allows the system to contain failure-awareservices, such as failure detectors, in addition to failure-obliviousservices; however, it requires that each failure-aware service beconnected to all processes.  Thus, f+1 process failures overall candisable all the failure-aware services.  In contrast, it is possibleto boost the resilience of a system solving consensus if arbitrarypatterns of connectivity are allowed between processes andfailure-aware services: consensus is solvable for any number offailures using only 1-resilient 2-process perfect failure detectors.",20 p.; 30546523 bytes; 1297125 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Impossibility of boosting distributed service resilience,
"Sivic, Josef; Russell, Bryan C.; Efros, Alexei A.; Zisserman, Andrew; Freeman, William T.",,2005-12-22T02:24:48Z,2005-12-22T02:24:48Z,2005-02-25,MIT-CSAIL-TR-2005-012; AIM-2005-005,http://hdl.handle.net/1721.1/30525,"Given a set of images containing multiple object categories,we seek to discover those categories and their image locations withoutsupervision.  We achieve this using generative modelsfrom the statistical text literature: probabilistic Latent SemanticAnalysis (pLSA), and Latent Dirichlet Allocation (LDA). In text analysisthese are used to discover topics in a corpus using the bag-of-wordsdocument representation. Here we discover topics as object categories, sothat an image containing instances of several categories is modelled as amixture of topics.The models are applied to images by using avisual analogue of a word, formed by vector quantizing SIFT like regiondescriptors.  We investigate a set of increasingly demanding scenarios,starting with image sets containing only two object categories through tosets containing multiple categories (including airplanes, cars, faces,motorbikes, spotted cats) and background clutter. The object categoriessample both intra-class and scale variation, and both the categories andtheir approximate spatial layout are found without supervision.We also demonstrate classification of unseen images and images containingmultiple objects. Performance of the proposed unsupervised method is compared tothe semi-supervised approach of Fergus et al.",0 p.; 29582654 bytes; 2849946 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Discovering object categories in image collections,AI
"Cox, Russ; Josephson, William",Parallel and Distributed Operating Systems,2005-12-22T02:24:58Z,2005-12-22T02:24:58Z,2005-02-28,MIT-CSAIL-TR-2005-014; MIT-LCS-TM-650,http://hdl.handle.net/1721.1/30527,"Vector time pairs are a new method for trackingsynchronization metadata.  A vector time pairconsists of two vector times: one tracking filemodification history and one tracking filesynchronization history.  Because the vectortimes are maintained separately and used fordifferent purposes, different algorithms andoptimizations can be applied to each.  As aresult, vector time pairs impose no restrictionon synchronization patterns, never falsely detectconflicts, require no space to store deletionnotices, require network bandwidth proportionalonly to the number of files changed, and supportpartial synchronizations.  No other currentsynchronization method has all these properties.Results from an implementation of vector timepairs in a new user-level file synchronizercalled Tra confirm the benefits of vectortime pairs.",14 p.; 22930099 bytes; 909750 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,File Synchronization with Vector Time Pairs,
"Balas, Benjamin; Sinha, Pawan",,2005-12-22T02:25:04Z,2005-12-22T02:25:04Z,2005-03-01,MIT-CSAIL-TR-2005-015; AIM-2005-006; CBCL-246,http://hdl.handle.net/1721.1/30528,"Localized operators, like Gabor wavelets and difference-of-Gaussian filters, are considered to be useful tools for image representation. This is due to their ability to form a Â‘sparse codeÂ’ that can serve as a basis set for high-fidelity reconstruction of natural images. However, for many visual tasks, the more appropriate criterion of representational efficacy is Â‘recognitionÂ’, rather than Â‘reconstructionÂ’. It is unclear whether simple local features provide the stability necessary to subserve robust recognition of complex objects. In this paper, we search the space of two-lobed differential operators for those that constitute a good representational code under recognition/discrimination criteria. We find that a novel operator, which we call the Â‘dissociated dipoleÂ’ displays useful properties in this regard. We describe simple computational experiments to assess the merits of such dipoles relative to the more traditional local operators. The results suggest that non-local operators constitute a vocabulary that is stable across a range of image transformations.",17 p.; 34808229 bytes; 3368874 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Receptive field structures for recognition,AI; object recognition; face recognition; sparse coding
