dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.other
"Perez-Breva, Luis",2005-12-22T01:27:18Z,2005-12-22T01:27:18Z,2004-04-21,MIT-CSAIL-TR-2004-023; AIM-2004-028,http://hdl.handle.net/1721.1/30463,"Among the various methods to combine classifiers, Boosting was originally thought as an stratagem to cascade pairs of classifiers through their disagreement. I recover the same idea from the work of Niyogi et al. to show how to loosen the requirement of weak learnability, central to Boosting, and introduce a new cascading stratagem. The paper concludes with an empirical study of an implementation of the cascade that, under assumptions that mirror the conditions imposed by Viola and Jones in [VJ01], has the property to preserve the generalization ability of boosting.",8 p.; 8847621 bytes; 505102 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI,Cascading Regularized Classifiers,
"Chockler, Gregory; Malkhi, Dahlia",2005-12-22T01:27:28Z,2005-12-22T01:27:28Z,2004-04-22,MIT-CSAIL-TR-2004-024; MIT-LCS-TR-934,http://hdl.handle.net/1721.1/30464,"We propose light-weight lease primitives to leverage fault-tolerant coordination among clients accessing a shared storage infrastructure (such as network attached disks or storage servers). In our approach, leases are implemented from the very shared data that they protect. That is, there is no global lease manager, there is a lease per data item (e.g., a file, a directory, a disk partition, etc.) or a collection thereof. Our lease primitives are useful for facillitating exculsive access to data in systems satisfying certain timeliness constraints. In addition, they can be utilized as a building block for implementing dependable services resilient to timing failures. In particular, we show a simple lease based solution for fault-tolerant Consensus which is a benchmark distributed coordination problem.",26 p.; 28838794 bytes; 1106660 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Light-Weight Leases for Storage-Centric Coordination,Theory of Computation
"Yokono, Jerry Jun; Poggio, Tomaso",2004-10-20T21:05:26Z,2004-10-20T21:05:26Z,2004-04-27,AIM-2004-010; CBCL-238,http://hdl.handle.net/1721.1/7285,"Local descriptors are increasingly used for the task of object recognition because of their perceived robustness with respect to occlusions and to global geometrical deformations. Such a descriptor--based on a set of oriented Gaussian derivative filters-- is used in our recognition system. We report here an evaluation of several techniques for orientation estimation to achieve rotation invariance of the descriptor. We also describe feature selection based on a single training image. Virtual images are generated by rotating and rescaling the image and robust features are selected. The results confirm robust performance in cluttered scenes, in the presence of partial occlusions, and when the object is embedded in different backgrounds.",15 p.; 5162833 bytes; 968095 bytes,application/postscript; application/pdf,en_US,AIM-2004-010; CBCL-238,AI; object recognition; local descriptor; rotation invariant,Rotation Invariant Object Recognition from One Training Example,
"Yokono, Jerry Jun; Poggio, Tomaso",2005-12-22T01:30:35Z,2005-12-22T01:30:35Z,2004-04-27,MIT-CSAIL-TR-2004-025; AIM-2004-010; CBCL-238,http://hdl.handle.net/1721.1/30465,"Local descriptors are increasingly used for the task of object recognition because of their perceived robustness with respect to occlusions and to global geometrical deformations. Such a descriptor--based on a set of oriented Gaussian derivative filters-- is used in our recognition system. We report here an evaluation of several techniques for orientation estimation to achieve rotation invariance of the descriptor. We also describe feature selection based on a single training image. Virtual images are generated by rotating and rescaling the image and robust features are selected. The results confirm robust performance in cluttered scenes, in the presence of partial occlusions, and when the object is embedded in different backgrounds.",15 p.; 38274547 bytes; 7811820 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; object recognition; local descriptor; rotation invariant,Rotation Invariant Object Recognition from One Training Example,
"Zollei, Lilla; Fisher, John; Wells, William",2004-10-08T20:43:13Z,2004-10-08T20:43:13Z,2004-04-28,AIM-2004-011,http://hdl.handle.net/1721.1/6738,"We formulate and interpret several multi-modal registration methods in the context of a unified statistical and information theoretic framework.  A unified interpretation clarifies the implicit assumptions of each method yielding a better understanding of their relative strengths and weaknesses. Additionally, we discuss a generative statistical model from which we derive a novel analysis tool, the ""auto-information function"", as a means of assessing and exploiting the common spatial dependencies inherent in multi-modal imagery. We analytically derive useful properties of the ""auto-information"" as well as verify them empirically on multi-modal imagery. Among the useful aspects of the ""auto-information function"" is that it can be computed from imaging modalities independently and it allows one to decompose the search space of registration problems.",21 p.; 2760680 bytes; 531001 bytes,application/postscript; application/pdf,en_US,AIM-2004-011,AI; registration; information theory; unified framework,A Unified Statistical and Information Theoretic Framework for Multi-modal Image Registration,
"Zollei, Lilla; Fisher, John; Wells, William",2005-12-22T01:30:39Z,2005-12-22T01:30:39Z,2004-04-28,MIT-CSAIL-TR-2004-026; AIM-2004-011,http://hdl.handle.net/1721.1/30466,"We formulate and interpret several multi-modal registration methods inthe context of a unified statistical and information theoretic framework. A unified interpretation clarifies the implicit assumptionsof each method yielding a better understanding of their relativestrengths and weaknesses. Additionally, we discuss a generativestatistical model from which we derive a novel analysis tool, the""auto-information function"", as a means of assessing and exploiting thecommon spatial dependencies inherent in multi-modal imagery. Weanalytically derive useful properties of the ""auto-information"" aswell as verify them empirically on multi-modal imagery. Among theuseful aspects of the ""auto-information function"" is that it canbe computed from imaging modalities independently and it allows one todecompose the search space of registration problems.",21 p.; 17309765 bytes; 765629 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; registration; information theory; unified framework,A Unified Statistical and Information Theoretic Framework for Multi-modal Image Registration,
"Gupta, Anjali; Krohn, Maxwell; Walfish, Michael",2005-12-22T01:30:43Z,2005-12-22T01:30:43Z,2004-05-05,MIT-CSAIL-TR-2004-027; MIT-LCS-TM-643,http://hdl.handle.net/1721.1/30467,"The recently developed rateless erasure codes are a near-optimal channel coding technique that guaranteeslow overhead and fast decoding. The underlying theory, and current implementations, of thesecodes assume that a network transmitter encodes according to a pre-specified probability distribution.In this report, we use basic Machine Learning techniques to try to understand what happens when thisassumption is false. We train several classes of models using certain features that describe the empiricaldistribution realized at a network receiver, and we investigate whether these models can Â“learnÂ” topredict whether a given encoding will require extra overhead. Our results are mixed.",15 p.; 20087603 bytes; 791808 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Can Basic ML Techniques Illuminate Rateless Erasure Codes?,Parallel and Distributed Operating Systems
"Arkoudas, Konstantine; Zee, Karen; Kuncak, Viktor; Rinard, Martin",2005-12-22T01:30:49Z,2005-12-22T01:30:49Z,2004-05-06,MIT-CSAIL-TR-2004-028; MIT-LCS-TR-946,http://hdl.handle.net/1721.1/30468,"We present a correctness proof for a basic file system implementation. This implementation contains key elements of standard Unix file systems such as inodes and fixed-size disk blocks. We prove the implementation correct by establishing a simulation relation between the specification of the file system (which models the file system as an abstract map from file names to sequences of bytes) and its implementation (which uses fixed-size disk blocks to store the contents of the files).We used the Athena proof checker to represent and validate our proof. Our experience indicates that Athena's use of block-structured natural deduction, support for structural induction and proof abstraction, and seamless connection with high-performance automated theorem provers were essential to our ability to successfully manage a proof of this size.",31 p.; 26287249 bytes; 1119970 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,On Verifying a File System Implementation,Computer Architecture
"Sand, Peter; Teller, Seth",2005-12-22T01:30:57Z,2005-12-22T01:30:57Z,2004-05-11,MIT-CSAIL-TR-2004-029; MIT-LCS-TR-947,http://hdl.handle.net/1721.1/30469,"This paper describes a method for bringing two videos (recorded at different times) into spatiotemporal alignment, then comparing and combining corresponding pixels for applications such as background subtraction, compositing, and increasing dynamic range. We align a pair of videos by searching for frames that best match according to a robust image registration process. This process uses locally weighted regression to interpolate and extrapolate high-likelihood image correspondences, allowing new correspondences to be discovered and refined. Image regions that cannot be matched are detected and ignored, providing robustness to changes in scene content and lighting, which allows a variety of new applications.",8 p.; 23656728 bytes; 1181560 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Video Matching,Computer Graphics
"Feamster, Nick; Balakrishnan, Hari",2005-12-22T01:31:12Z,2005-12-22T01:31:12Z,2004-05-17,MIT-CSAIL-TR-2004-031; MIT-LCS-TR-948,http://hdl.handle.net/1721.1/30471,"Several studies have shown that wide-area Internet routing is fragile, with failures occurring for a variety of reasons. Routing fragility is largely due to the flexible and powerful ways in which BGP can be configured to perform various tasks, which range from implementing the policies of commercial relationships to configuring backup paths. Configuring routers in an AS is like writing a distributed program, and BGP's flexible configuration and today's relatively low-level configuration languages make the process error-prone. The primary method used by operators to determine whether their complex configurations are correct is to try them out in operation.We believe that there is a need for a systematic approach to verifying router configurations before they are deployed. This paper develops a static analysis framework for configuration checking, and uses it in the design of rcc, a ``router configuration checker''. rcc takes as input a set of router configurations and flags anomalies and errors, based on a set of well-defined correctness conditions. We have used rcc to check BGP configurations from 9 operational networks, testing nearly 700 real-world router configurations in the process. Every network we analyzed had configuration errors, some of which were potentially serious and had previously gone unnoticed. Our analysis framework and results also suggest ways in which BGP and configuration languages should be improved. rcc has also been downloaded by 30 network operators to date.",14 p.; 28764880 bytes; 1265172 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Verifying the Correctness of Wide-Area Internet Routing,Networks and Mobile Systems
