dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.other
"Mukherjee, Sayan; Golland, Polina; Panchenko, Dmitry",2004-10-08T20:39:06Z,2004-10-08T20:39:06Z,2003-08-28,AIM-2003-019,http://hdl.handle.net/1721.1/6723,"We introduce and explore an approach to estimating statistical significance of classification accuracy, which is particularly useful in scientific applications of machine learning where high dimensionality of the data and the small number of training examples render most standard convergence bounds too loose to yield a meaningful guarantee of the generalization ability of the classifier. Instead, we estimate statistical significance of the observed classification accuracy, or the likelihood of observing such accuracy by chance due to spurious correlations of the high-dimensional data patterns with the class labels in the given training set. We adopt permutation testing, a non-parametric technique previously developed in classical statistics for hypothesis testing in the generative setting (i.e., comparing two probability distributions). We demonstrate the method on real examples from neuroimaging studies and DNA microarray analysis and suggest a theoretical analysis of the procedure that relates the asymptotic behavior of the test to the existing convergence bounds.",22 p.; 1135156 bytes; 662639 bytes,application/postscript; application/pdf,en_US,AIM-2003-019,AI; Classification; Permutation testing; Statistical significance.,Permutation Tests for Classification,
"Che, Austin",2005-12-19T22:50:24Z,2005-12-19T22:50:24Z,2003-08-31,MIT-CSAIL-TR-2003-017; AITR-2003-017,http://hdl.handle.net/1721.1/30406,"To engineer complex synthetic biological systems will require modulardesign, assembly, and characterization strategies. The RNApolymerase arrival rate (PAR) is defined to be the rate that RNApolymerases arrive at a specified location on the DNA. Designing andcharacterizing biological modules in terms of RNA polymerase arrivalrates provides for many advantages in the construction and modeling ofbiological systems.PARMESAN is an in vitro method for measuring polymerase arrival ratesusing pyrrolo-dC, a fluorescent DNA base that can substitute forcytosine. Pyrrolo-dC shows a detectable fluorescence difference whenin single-stranded versus double-stranded DNA. During transcription,RNA polymerase separates the two strands of DNA, leading to a changein the fluorescence of pyrrolo-dC. By incorporating pyrrolo-dC atspecific locations in the DNA, fluorescence changes can be taken as adirect measurement of the polymerase arrival rate.",112 p.; 113486485 bytes; 7023595 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI,Fluorescence Assay for Polymerase Arrival Rates,
"Che, Austin",2004-10-20T20:32:21Z,2004-10-20T20:32:21Z,2003-08-31,AITR-2003-017,http://hdl.handle.net/1721.1/7112,"To engineer complex synthetic biological systems will require modular design, assembly, and characterization strategies. The RNA polymerase arrival rate (PAR) is defined to be the rate that RNA polymerases arrive at a specified location on the DNA. Designing and characterizing biological modules in terms of RNA polymerase arrival rates provides for many advantages in the construction and modeling of biological systems.  PARMESAN is an in vitro method for measuring polymerase arrival rates using pyrrolo-dC, a fluorescent DNA base that can substitute for cytosine. Pyrrolo-dC shows a detectable fluorescence difference when in single-stranded versus double-stranded DNA. During transcription, RNA polymerase separates the two strands of DNA, leading to a change in the fluorescence of pyrrolo-dC. By incorporating pyrrolo-dC at specific locations in the DNA, fluorescence changes can be taken as a direct measurement of the polymerase arrival rate.",112 p.; 92476964 bytes; 3362118 bytes,application/postscript; application/pdf,en_US,AITR-2003-017,AI,Fluorescence Assay for Polymerase Arrival Rates,
"Ross, Michael G.; Kaelbling, Leslie Pack",2004-10-08T20:43:02Z,2004-10-08T20:43:02Z,2003-09-08,AIM-2003-022,http://hdl.handle.net/1721.1/6730,"This memo describes the initial results of a project to create a self-supervised algorithm for learning object segmentation from video data. Developmental psychology and computational experience have demonstrated that the motion segmentation of objects is a simpler, more primitive process than the detection of object boundaries by static image cues. Therefore, motion information provides a plausible supervision signal for learning the static boundary detection task and for evaluating performance on a test set. A video camera and previously developed background subtraction algorithms can automatically produce a large database of motion-segmented images for minimal cost. The purpose of this work is to use the information in such a database to learn how to detect the object boundaries in novel images using static information, such as color, texture, and shape.  This work was funded in part by the Office of Naval Research contract #N00014-00-1-0298, in part by the Singapore-MIT Alliance agreement of 11/6/98, and in part by a National Science Foundation Graduate Student Fellowship.",15 p.; 2769288 bytes; 1654353 bytes,application/postscript; application/pdf,en_US,AIM-2003-022,AI; learning; image segmentation; motion; Markov random field; belief propagation,Learning object segmentation from video data,
"Kouh, Minjoon; Riesenhuber, Maximilian",2004-10-20T21:05:14Z,2004-10-20T21:05:14Z,2003-09-08,AIM-2003-021; CBCL-231,http://hdl.handle.net/1721.1/7278,"The question of how shape is represented is of central interest to understanding visual processing in cortex. While tuning properties of the cells in early part of the ventral visual stream, thought to be responsible for object recognition in the primate, are comparatively well understood, several different theories have been proposed regarding tuning in higher visual areas, such as V4. We used the model of object recognition in cortex presented by Riesenhuber and Poggio (1999), where more complex shape tuning in higher layers is the result of combining afferent inputs tuned to simpler features, and compared the tuning properties of model units in intermediate layers to those of V4 neurons from the literature. In particular, we investigated the issue of shape representation in visual area V1 and V4 using oriented bars and various types of gratings (polar, hyperbolic, and Cartesian), as used in several physiology experiments. Our computational model was able to reproduce several physiological findings, such as the broadening distribution of the orientation bandwidths and the emergence of a bias toward non-Cartesian stimuli. Interestingly, the simulation results suggest that some V4 neurons receive input from afferents with spatially separated receptive fields, leading to experimentally testable predictions. However, the simulations also show that the stimulus set of Cartesian and non-Cartesian gratings is not sufficiently complex to probe shape tuning in higher areas, necessitating the use of more complex stimulus sets.",14 p.; 2802887 bytes; 1234306 bytes,application/postscript; application/pdf,en_US,AIM-2003-021; CBCL-231,AI; Shape Tuning; Shape Representation; Features; HMAX; Visual Cortex; Gratings; V4,Investigating shape representation in area V4 with HMAX: Orientation and Grating selectivities,
"Ross, Michael G.; Kaelbling, Leslie Pack",2005-12-19T22:46:46Z,2005-12-19T22:46:46Z,2003-09-08,MIT-CSAIL-TR-2003-018; AIM-2003-022,http://hdl.handle.net/1721.1/30401,"This memo describes the initial results of a project to create aself-supervised algorithm for learning object segmentation from videodata. Developmental psychology and computational experience havedemonstrated that the motion segmentation of objects is a simpler,more primitive process than the detection of object boundaries bystatic image cues. Therefore, motion information provides a plausiblesupervision signal for learning the static boundary detection task andfor evaluating performance on a test set. A video camera andpreviously developed background subtraction algorithms canautomatically produce a large database of motion-segmented images forminimal cost. The purpose of this work is to use the information insuch a database to learn how to detect the object boundaries in novelimages using static information, such as color, texture, and shape.This work was funded in part by the Office of Naval Research contract#N00014-00-1-0298, in part by the Singapore-MIT Alliance agreement of11/6/98, and in part by a National Science Foundation Graduate StudentFellowship.",15 p.; 23365488 bytes; 1821447 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; learning; image segmentation; motion; Markov random field; belief propagation,Learning object segmentation from video data,
"Kouh, Minjoon; Riesenhuber, Maximilian",2005-12-20T22:01:32Z,2005-12-20T22:01:32Z,2003-09-08,MIT-CSAIL-TR-2003-019; AIM-2003-021; CBCL-231,http://hdl.handle.net/1721.1/30424,"The question of how shape is represented is of central interest to understanding visual processing in cortex. While tuning properties of the cells in early part of the ventral visual stream, thought to be responsible for object recognition in the primate, are comparatively well understood, several different theories have been proposed regarding tuning in higher visual areas, such as V4.  We used the model of object recognition in cortex presented by Riesenhuber and Poggio (1999), where more complex shape tuning in higher layers is the result of combining afferent inputs tuned to simpler features, and compared the tuning properties of model units in intermediate layers to those of V4 neurons from the literature.  In particular, we investigated the issue of shape representation in visual area V1 and V4 using oriented bars and various types of gratings (polar, hyperbolic, and Cartesian), as used in several physiology experiments.  Our computational model was able to reproduce several physiological findings, such as the broadening distribution of the orientation bandwidths and the emergence of a bias toward non-Cartesian stimuli.  Interestingly, the simulation results suggest that some V4 neurons receive input from afferents with spatially separated receptive fields, leading to experimentally testable predictions.  However, the simulations also show that the stimulus set of Cartesian and non-Cartesian gratings is not sufficiently complex to probe shape tuning in higher areas, necessitating the use of more complex stimulus sets.",14 p.; 20150764 bytes; 1258167 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; Shape Tuning; Shape Representation; Features; HMAX; Visual Cortex; Gratings; V4,Investigating shape representation in area V4 with HMAX: Orientation and Grating selectivities,
"Rodrigues, Rodrigo; Liskov, Barbara",2005-12-20T22:29:44Z,2005-12-20T22:29:44Z,2003-09-25,MIT-CSAIL-TR-2003-020; MIT-LCS-TR-920,http://hdl.handle.net/1721.1/30425,We prove correctness of a Byzantine-fault-tolerant replication algorithm for a read/writeatomic memory that supports a dynamic replica set.,10 p.; 13866415 bytes; 493836 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,A Correctness Proof for a Byzantine-Fault-Tolerant Read/Write Atomic Memory with Dynamic Replica Membership,Programming Methodology
"Marinov, Darko; Rodoicic, Rados",2005-12-22T12:00:00Z,2005-12-22T12:00:00Z,2003-10-09,MIT-CSAIL-TR-2003-021; MIT-LCS-TR-924,http://hdl.handle.net/1721.1/30426,"We consider permutations that avoid the pattern 1324. We give exact formulas for thenumber of reducible 1324-avoiding permutations and the number of {1324, 4132, 2413, 3241}-avoiding permutations. By studying the generating tree for all 1324-avoiding permutations,we obtain a recurrence formula for their number. A computer program provides data for thenumber of 1324-avoiding permutations of length up to 20.",12 p.; 13383375 bytes; 567281 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Generating Trees of (Reducible) 1324-avoiding Permutations,
"Liskov, Moses; Milcali, Silvio",2005-12-22T01:06:21Z,2005-12-22T01:06:21Z,2003-10-14,MIT-CSAIL-TR-2003-023; MIT-LCS-TM-640,http://hdl.handle.net/1721.1/30428,"We build on the work of Micali, Rabin, and Killian [4] to introduce zero-knowledge sets and databases that may be updated in a desirable way. In particular, in order to make an update the owner of the set must publish a commitment to the update, and update the commitment to the set. The update should take time independent of the size of the set. In addition, the update should not leak which key was added (or removed), or what data is associated with that key. Furthermore, our update will be transparent in that those already possessing a proof of a particular key being present or absent should be able to update their proofs to obtain a valid proof relative to the updated set, except if their proof is relative to the element that was changed.",6 p.; 6191398 bytes; 283726 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Updatable Zero-Knowledge Sets,Theory of Computation
